;Padualaan;Kromme Rijn;Galgenwaard;Vaartsche Rijn
06:00;0;0;0;0
06:15;0;0;0;0
06:30;0;0;0.128862095;0.38306582
06:45;0;0;0.608873399;0.229839492
07:00;0;0.01593;0.644562858;0.439070476
07:15;0.8255725;0.0613305;2.180771;2.362748
07:30;0.805436589;0.053488537;2.017534147;3.036011707
07:45;0.26208651;0.03127;1.50398;4.701713017
08:00;0.266313705;0.020983065;1.140113871;3.216014194
08:15;10.06795732;0.063460976;1.724074634;2.740843903
08:30;5.896946426;0.057525;0.734085476;2.209073334
08:45;12.8733339;0.06678;0.994156271;2.578608813
09:00;5.181494664;0.459821429;0.631424266;0.67994183
09:15;0.502515647;0.092364532;0.559883584;0.55478498
09:30;0.43371886;0.110012755;0.483232856;0.759291178
09:45;2.428825623;0.295566503;0.699854481;1.545472443
10:00;0;0.087662338;0.393615127;0.783543722
10:15;1.070329935;0.92161017;0.642126371;1.003113035
10:30;3.298405169;0.677910053;1.186008541;1.198854138
10:45;1.376334518;0.433035715;1.578560664;2.394161371
11:00;1.423794329;0.189347291;1.259738066;1.357241825
11:15;0.557435387;0.079039813;0.909428392;1.196295714
11:30;2.977270119;0.237615207;0.829289934;1.02871708
11:45;2.467378411;0.165816327;1.653730218;2.006535244
12:00;0.925266902;0.085034014;1.567822156;1.997414629
12:15;1.214412812;0.178571429;1.64299171;1.846924486
12:30;2.236061683;0.378401361;2.749058026;2.353118604
12:45;1.233689205;0.518707483;3.221552374;5.755107904
13:00;1.387900357;0.178571429;2.534287867;3.173973932
13:15;1.15658363;0.093537415;1.460437076;1.842364179
13:30;1.33193663;0.09936636;1.724050125;1.844276566
13:45;0.385527875;0.102040816;2.083270535;2.225429999
14:00;1.362511935;0.166594077;2.310088775;2.473577455
14:15;1.376334518;0.34375;2.345290128;2.365431435
14:30;1.019507051;0.476190477;2.806330068;2.851712211
14:45;1.61921708;0.46875;2.367840995;3.840234839
15:00;0.947834388;0.241724739;3.382629993;5.017227926
15:15;0.861841351;0.129608295;2.269635608;4.124136038
15:30;0.359826018;0.099206349;1.503391108;3.504342866
15:45;0.796336269;0.105386417;1.730132062;3.975092847
16:00;0.165224233;0.150975244;2.285487693;8.981950111
16:15;0.103658536;0.140503876;2.619668245;9.179355607
16:30;0.128048781;0.237403101;2.917357819;9.725155129
16:45;0.101174345;0.251220213;3.581095312;10.50556881
17:00;0.114802355;0.182437851;2.529334858;11.69733355
17:15;0.064834825;0.226670591;2.553347531;8.617226063
17:30;0.190988012;0.248324793;2.20391196;6.926916385
17:45;0.093126386;0.110993658;1.848922878;5.830883054
18:00;0.658664574;0.054479419;0.73385871;2.4542183
18:15;0.346975087;0.261479592;2.416164281;4.418937845
18:30;0.728647687;0.053571429;1.420704597;3.505052247
18:45;0.578291815;0.242346939;1.353051997;3.762253582
19:00;0;0.267857143;2.448379805;4.870408275
19:15;0;0.051020408;1.288620949;3.693848972
19:30;0.242882562;0.053571429;0.676525999;2.643154153
19:45;0.462633451;0.051020408;1.997362472;2.681460735
20:00;0.462633451;0.051020408;0.966465712;2.790908112
20:15;0;0.038265306;0.708741522;1.997414629
20:30;0;0.012755102;0.257724189;1.80588172
20:45;0.231316728;0.025510204;0.773172569;1.559625122
21:00;0.231316728;0.025510204;0.966465712;1.340730367
21:15;0;0.012755102;0.708741522;1.067111926
