WaitingTime;Delay;DelayPR;DelayCS;OneMin;OneMinCS;OneMinPR;
192;35;35;36;14;14;15;
241;48;46;51;20;16;23;
194;28;20;36;16;11;21;
254;41;40;41;17;15;19;
210;35;27;43;15;11;20;
316;98;88;107;28;25;31;
153;58;51;65;22;17;26;
266;19;16;22;10;8;12;
184;82;73;92;28;24;31;
237;57;47;67;20;16;24;
229;54;48;61;22;21;24;
205;28;25;32;13;10;16;
222;88;76;99;24;19;29;
209;53;45;61;21;19;23;
333;44;39;48;18;16;21;
278;24;21;27;13;10;16;
188;35;22;47;17;11;23;
281;31;26;35;13;10;17;
181;25;22;29;10;8;12;
267;75;73;77;27;25;29;
136;146;140;153;31;29;32;
194;83;72;94;23;19;27;
159;68;60;75;20;16;24;
225;75;68;83;20;18;23;
235;36;31;40;19;17;20;
261;46;34;59;21;16;27;
299;66;55;76;27;22;31;
182;37;34;40;12;10;15;
251;59;56;62;14;13;16;
156;38;32;45;16;13;18;
161;80;69;90;21;18;24;
213;43;31;55;16;12;20;
265;48;43;54;17;14;19;
367;52;46;58;22;17;26;
170;82;71;92;28;23;33;
210;39;32;46;16;12;19;
275;56;50;62;19;15;23;
228;105;100;111;27;25;30;
224;54;50;58;22;19;25;
193;53;48;58;22;19;24;
157;50;43;58;20;15;26;
337;64;52;77;19;16;22;
540;102;88;115;29;26;32;
371;66;61;70;20;16;24;
194;38;31;46;18;14;22;
203;80;75;86;27;26;28;
182;54;43;64;22;18;25;
340;111;103;120;28;24;32;
208;52;43;61;20;16;24;
136;59;50;67;21;16;25;
333;64;54;75;25;20;31;
198;66;65;67;28;25;31;
361;74;65;83;23;20;25;
348;54;48;61;22;20;24;
272;43;36;51;15;12;18;
236;33;23;42;14;10;18;
214;67;56;79;21;18;25;
198;51;42;59;16;13;20;
170;83;73;93;27;24;30;
120;24;20;27;10;8;12;
313;106;102;109;34;34;34;
228;58;46;70;24;18;29;
302;75;69;82;25;22;28;
224;36;29;43;14;10;18;
292;52;46;58;23;20;26;
197;70;55;84;22;17;28;
217;40;34;47;18;14;22;
245;110;101;119;33;30;36;
121;63;53;72;22;16;28;
158;54;49;59;20;17;24;
241;43;37;50;20;16;23;
357;84;70;98;27;22;32;
280;28;28;29;12;10;13;
241;69;63;74;18;17;20;
200;57;48;65;23;21;26;
278;50;41;59;21;17;25;
165;66;59;74;22;17;27;
175;34;31;37;16;12;19;
325;136;124;148;27;24;29;
273;41;35;47;19;15;22;
279;33;29;38;16;13;19;
167;115;108;122;26;22;30;
318;63;52;74;24;20;28;
245;35;32;38;15;13;17;
233;30;24;36;14;10;17;
250;67;57;77;27;22;32;
345;57;48;67;21;15;26;
358;47;41;53;17;15;19;
245;15;12;17;7;6;9;
177;16;12;21;9;6;11;
169;90;87;93;18;15;21;
223;90;83;96;22;18;27;
270;48;41;54;13;9;17;
233;150;143;156;28;26;29;
258;96;92;101;31;28;33;
232;58;51;64;24;19;29;
155;41;33;49;13;9;17;
240;97;84;110;26;22;31;
183;12;9;15;5;4;6;
341;59;49;70;24;20;27;
