;Centraal Station;Vaartsche Rijn;Galgenwaard;Kromme Rijn;Padualaan;Heidelberglaan;UMC;WKZ;P+R De Uithof
06:00;0.02704603;0.001977176;0;0.000125071;0;0;0;0;0
06:15;0;0;0;0;0;0;0;0;0
06:30;0.130722476;0.043169004;0.001626928;0.000270987;3.79E-06;0;0;0;0
06:45;0.096003814;0.013510912;0.001485456;0.000229297;0;0;0;0;0
07:00;0.198296434;0.037908765;0.005357142;0.000920809;0;0;0;0;0
07:15;0.23510986;0.073487072;0.016071427;0.000460405;0;0;0;0;0
07:30;0.652589779;0.203371198;0.018367348;0.001074278;0;0;0;0;0
07:45;0.567605594;0.205235562;0.015561223;0.003990177;0;0;0;0;0
08:00;1.729317228;0.192340369;0.02372449;0.007059544;0;0;0;0;0
08:15;1.97539279;0.106734922;0.048469387;0.003222836;0;0;0;0;0
08:30;2.668190141;0.173541351;0.049744896;0.007213013;0;0;0;0;0
08:45;0.999053729;0.069602975;0.022704083;0.003836709;0;0;0;0;0
09:00;0.75987834;0.057009449;0.006790655;0.000250142;1.90E-05;7.32E-05;7.32E-05;0;0
09:15;0.583599609;0.04465191;0.003819744;0.000250142;1.52E-05;1.22E-05;1.22E-05;0;0
09:30;0.474072781;0.035919245;0.003678272;0.000312678;3.79E-06;3.66E-05;3.66E-05;0;0
09:45;0.483951294;0.040367961;0.003466064;0.000375213;3.79E-05;2.44E-05;2.44E-05;0;0
10:00;0.608535665;0.058162819;0.003395328;0.000541974;3.79E-05;1.22E-05;1.22E-05;0;0
10:15;0.748944838;0.065906875;0.009124943;0.000562819;4.17E-05;8.54E-05;8.54E-05;0;0
10:30;0.677781172;0.068378383;0.012661742;0.000500284;5.31E-05;3.66E-05;3.66E-05;0;0
10:45;0.46304337;0.067884079;0.005234464;0.00189691;3.03E-05;0.000121966;0.000121966;0;0
11:00;0.268350321;0.043992842;0.006083296;0.000500284;4.17E-05;4.88E-05;4.88E-05;0;0
11:15;0.277269757;0.027186584;0.005234464;0.000208452;1.14E-05;3.66E-05;3.66E-05;0;0
11:30;0.278420652;0.026527516;0.005941823;0.000479439;2.65E-05;0;0;0;0
11:45;0.234015291;0.021090201;0.004880784;0.000375213;1.14E-05;1.22E-05;1.22E-05;0;0
12:00;0.330978185;0.028999024;0.0053052;0.000458593;4.55E-05;4.88E-05;4.88E-05;0;0
12:15;0.407992232;0.034601109;0.006932127;0.000541974;3.41E-05;6.10E-05;6.10E-05;0;0
12:30;0.764002379;0.064588739;0.01252027;0.001521697;0.000121309;6.10E-05;6.10E-05;0;0
12:45;0.466112423;0.047782487;0.008983472;0.002605645;7.20E-05;2.44E-05;2.44E-05;0;0
13:00;0.306809391;0.034765879;0.009903039;0.000958877;3.03E-05;1.22E-05;1.22E-05;0;0
13:15;0.234398922;0.020266363;0.004385631;0.000312678;4.17E-05;8.54E-05;8.54E-05;0;0
13:30;0.192199444;0.020101596;0.004668575;0.000166761;2.27E-05;2.44E-05;2.44E-05;0;0
13:45;0.146355465;0.012522306;0.003961216;0.000270987;6.07E-05;2.44E-05;2.44E-05;0;0
14:00;0.151918124;0.024385544;0.003819744;0.000250142;3.03E-05;2.44E-05;2.44E-05;0;0
14:15;0.269405309;0.023726476;0.004739312;0.000333523;2.65E-05;3.66E-05;3.66E-05;0;0
14:30;0.286860547;0.042180399;0.005800351;0.000750426;4.93E-05;1.22E-05;1.22E-05;0;0
14:45;0.18136185;0.03509541;0.00495152;0.000562819;6.07E-05;4.88E-05;4.88E-05;0;0
15:00;0.13925828;0.02866949;0.003395328;0.001959445;7.20E-05;4.88E-05;4.88E-05;0;0
15:15;0.110485908;0.017135789;0.00212208;0.000562819;2.65E-05;2.44E-05;2.44E-05;0;0
15:30;0.08929026;0.020595897;0.001626928;0.000500284;2.27E-05;0;0;0;0
15:45;0.141464161;0.023891243;0.004031952;0.000708736;4.93E-05;2.44E-05;2.44E-05;0;0
16:00;0.200792766;0.036851115;0.002698051;0.000258137;0.000925927;0.00055545;0.00039675;0;0
16:15;0.382437768;0.053308883;0.003816755;0.000392817;0.000833333;0.00111111;0.00079365;0;0
16:30;0.359149946;0.065115551;0.005396102;0.000426487;0.001111112;0.001666665;0.001190475;0;0
16:45;0.352163602;0.057959996;0.004803847;0.001851852;0.004074074;0.002777775;0.001984125;0;0
17:00;0.193030157;0.033988889;0.003158695;0.001043771;0.001666667;0;0;0;0
17:15;0.444279872;0.055813332;0.004672235;0.000280584;0.001018519;0.00111111;0.00079365;0;0
17:30;0.178281204;0.027548888;0.001579347;7.86E-05;0.000277778;0;0;0;0
17:45;0.258753566;0.027191104;0.002763857;0.000112234;9.26E-05;0.00055545;0.00039675;0;0
18:00;0.072314561;0.017794854;0.002192816;0.000375213;3.79E-06;1.22E-05;1.22E-05;0;0
18:15;0.04718669;0.008897429;0.000778096;4.17E-05;0;1.22E-05;1.22E-05;0;0
18:30;0.058503822;0.011698471;0.000848832;6.25E-05;0;0;0;0;0
18:45;0.04420875;0.006055196;0.000297091;0;3.98E-06;0;0;0;0
19:00;0.063040267;0.007958257;0.000371364;6.57E-05;0;0;0;0;0
19:15;0.040583431;0.004152135;0.000297091;2.19E-05;0;2.56E-05;2.56E-05;0;0
19:30;0.032124353;0.003806121;0.00051991;0;0;0;0;0;0
19:45;0.026076855;0.003095889;0.000781818;2.30E-05;0;0;0;0;0
20:00;0.030210991;0.003979128;0.001188365;2.19E-05;0;0;0;0;0
20:15;0.01802589;0.003287104;0.000371364;0;0;0;0;0;0
20:30;0.021550507;0.005363171;0.000817001;0;0;0;0;0;0
20:45;0.017925188;0.002768086;0.00051991;2.19E-05;0;0;0;0;0
21:00;0.018831518;0.002768089;0.000445636;2.19E-05;3.98E-06;0;0;0;0
21:15;0;0;0;0;0;0;0;0;0
